name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"323,888,000,000","338,516,000,000","365,725,000,000","375,319,000,000","321,686,000,000","290,479,000,000","231,839,000,000","207,000,000,000","176,064,000,000","116,371,000,000","75,183,000,000","53,851,000,000","39,572,000,000","25,347,000,000","17,205,000,000","11,551,000,000","8,050,000,000","6,815,000,000","6,298,000,000","6,021,000,000","6,803,000,000","5,161,000,000","4,289,000,000","4,233,000,000","5,364,000,000","6,231,000,000","5,302,746,000","5,171,400,000","4,223,700,000","3,493,600,000","2,975,700,000","2,743,900,000","2,082,100,000","1,477,900,000","1,160,100,000","936,200,000"
	CurrentAssets,"143,713,000,000","162,819,000,000","131,339,000,000","128,645,000,000","106,869,000,000","89,378,000,000","68,531,000,000","73,286,000,000","57,653,000,000","44,988,000,000","41,678,000,000","36,265,000,000","34,690,000,000","21,956,000,000","14,509,000,000","10,300,000,000","7,055,000,000","5,887,000,000","5,388,000,000","5,143,000,000","5,427,000,000","4,285,000,000","3,698,000,000","3,424,000,000","4,515,000,000","5,224,000,000","4,476,452,000","4,338,400,000","3,558,400,000","2,863,600,000","2,403,300,000","2,294,400,000","1,783,000,000","1,307,400,000","1,040,900,000","822,100,000"
		CashCashEquivalentsAndShortTermInvestments,"90,943,000,000","100,557,000,000","66,301,000,000","74,181,000,000","67,155,000,000","41,601,000,000","25,077,000,000","40,546,000,000","29,129,000,000","25,952,000,000","25,620,000,000","23,464,000,000","24,490,000,000","15,386,000,000","10,110,000,000","8,261,000,000","5,464,000,000","4,566,000,000","4,337,000,000","4,336,000,000","4,027,000,000","3,226,000,000","2,300,000,000","1,459,000,000","1,745,000,000","952,000,000","1,257,856,000","676,400,000","498,600,000","604,100,000","374,700,000","438,300,000","545,700,000","565,100,000","576,200,000","337,000,000"
			CashAndCashEquivalents,"38,016,000,000","48,844,000,000","25,913,000,000","20,289,000,000","20,484,000,000","21,120,000,000","13,844,000,000","14,259,000,000","10,746,000,000","9,815,000,000","11,261,000,000","5,263,000,000","11,875,000,000","9,352,000,000","6,392,000,000","3,491,000,000","2,969,000,000","3,396,000,000","2,252,000,000","2,310,000,000","1,191,000,000","1,326,000,000","1,481,000,000","1,230,000,000","1,552,000,000","756,000,000","1,203,488,000","676,400,000","498,600,000","604,100,000","374,700,000","438,300,000","545,700,000","565,100,000","576,200,000","337,000,000"
				CashFinancial,"17,773,000,000","12,204,000,000","11,575,000,000","7,982,000,000","8,601,000,000","11,389,000,000","10,232,000,000","8,705,000,000","3,109,000,000","2,903,000,000",,,,,"200,000,000","127,000,000",,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"20,243,000,000","36,640,000,000","14,338,000,000","12,307,000,000","11,883,000,000","9,731,000,000","3,612,000,000","5,554,000,000","7,637,000,000","6,912,000,000",,,,,"6,192,000,000","3,364,000,000",,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"52,927,000,000","51,713,000,000","40,388,000,000","53,892,000,000","46,671,000,000","20,481,000,000","11,233,000,000","26,287,000,000","18,383,000,000","16,137,000,000","14,359,000,000","18,201,000,000","12,615,000,000","6,034,000,000","3,718,000,000","4,770,000,000","2,495,000,000","1,170,000,000","2,085,000,000","2,026,000,000","2,836,000,000","1,900,000,000","819,000,000","229,000,000","193,000,000","196,000,000","54,368,000",,,,,,,,,
		Receivables,"37,445,000,000","45,804,000,000","48,995,000,000","35,673,000,000","29,299,000,000","30,343,000,000","27,219,000,000","20,641,000,000","18,692,000,000","11,717,000,000","9,924,000,000","5,057,000,000","4,704,000,000","4,029,000,000","2,845,000,000","1,312,000,000","1,050,000,000","950,000,000","565,000,000","466,000,000","953,000,000","681,000,000","955,000,000","1,035,000,000","1,496,000,000","1,931,000,000","1,581,347,000","1,381,900,000","1,087,200,000","907,200,000","761,900,000","792,800,000","638,800,000","405,600,000","263,100,000","220,200,000"
			AccountsReceivable,"16,120,000,000","22,926,000,000","23,186,000,000","17,874,000,000","15,754,000,000","16,849,000,000","17,460,000,000","13,102,000,000","10,930,000,000","5,369,000,000","5,510,000,000","3,361,000,000","2,422,000,000","1,637,000,000","1,252,000,000","895,000,000","774,000,000","766,000,000","565,000,000","466,000,000","953,000,000","681,000,000","955,000,000","1,035,000,000","1,496,000,000","1,931,000,000","1,581,347,000",,,,,,,,,
				GrossAccountsReceivable,,,,"17,932,000,000","15,807,000,000","16,931,000,000","17,546,000,000","13,201,000,000","11,028,000,000","5,422,000,000","5,565,000,000","3,413,000,000","2,469,000,000","1,684,000,000","1,304,000,000","941,000,000","821,000,000","815,000,000","616,000,000","517,000,000","1,017,000,000","749,000,000","1,036,000,000","1,134,000,000","1,587,000,000","2,018,000,000","1,672,339,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-58,000,000","-53,000,000","-82,000,000","-86,000,000","-99,000,000","-98,000,000","-53,000,000","-55,000,000","-52,000,000","-47,000,000","-47,000,000","-52,000,000","-46,000,000","-47,000,000","-49,000,000","-51,000,000","-51,000,000","-64,000,000","-68,000,000","-81,000,000","-99,000,000","-91,000,000","-87,000,000","-90,992,000",,,,,,,,,
			OtherReceivables,"21,325,000,000","22,878,000,000","25,809,000,000","17,799,000,000","13,545,000,000","13,494,000,000","9,759,000,000","7,539,000,000","7,762,000,000","6,348,000,000","4,414,000,000","1,696,000,000","2,282,000,000","2,392,000,000","1,593,000,000","417,000,000","276,000,000","184,000,000",,,,,,,,,,,,,,,,,,
		Inventory,"4,061,000,000","4,106,000,000","3,956,000,000","4,855,000,000","2,132,000,000","2,349,000,000","2,111,000,000","1,764,000,000","791,000,000","776,000,000","1,051,000,000","455,000,000","509,000,000","346,000,000","270,000,000","165,000,000","101,000,000","56,000,000","45,000,000","11,000,000","33,000,000","20,000,000","78,000,000","437,000,000","662,000,000","1,775,000,000","1,088,434,000","1,506,600,000","580,100,000","671,700,000","355,500,000","475,400,000","461,500,000","225,800,000","108,700,000","167,000,000"
			RawMaterials,,,,,,,"471,000,000","683,000,000",,,,,,,,,"1,000,000","2,000,000","9,000,000","1,000,000","1,000,000","4,000,000","32,000,000","141,000,000","213,000,000","841,000,000","469,400,000",,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,"4,000,000",,,"2,000,000","3,000,000","5,000,000","15,000,000","43,000,000","291,000,000","206,700,000",,,,,,,,,
			FinishedGoods,,,,,,,"1,640,000,000","1,081,000,000",,,,,,,,,"100,000,000","50,000,000","36,000,000","10,000,000","30,000,000","13,000,000","41,000,000","281,000,000","406,000,000","643,000,000","412,300,000",,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,"309,000,000","475,000,000","417,000,000","208,000,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"5,546,000,000","4,318,000,000","3,453,000,000","2,583,000,000","2,014,000,000","1,636,000,000","5,804,000,000","3,378,000,000","782,000,000","607,000,000","331,000,000","231,000,000","190,000,000","166,000,000","169,000,000","162,000,000","143,000,000","182,000,000","259,000,000","342,000,000","251,000,000","293,048,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"5,546,000,000","4,318,000,000","3,453,000,000","2,583,000,000","2,014,000,000","1,636,000,000","2,101,000,000","1,447,000,000","782,000,000","607,000,000","331,000,000","231,000,000","190,000,000","166,000,000","169,000,000","162,000,000","143,000,000","182,000,000","259,000,000","342,000,000","251,000,000","293,048,000",,,,,,,,,
		OtherCurrentAssets,"11,264,000,000","12,352,000,000","12,087,000,000","13,936,000,000","8,283,000,000","9,539,000,000","9,806,000,000","6,882,000,000","6,458,000,000","4,529,000,000","3,447,000,000","1,176,000,000","1,134,000,000","996,000,000","469,000,000","231,000,000","209,000,000","125,000,000","275,000,000","161,000,000","252,000,000","215,000,000","183,000,000","234,000,000","270,000,000","315,000,000","255,767,000","773,500,000","1,392,500,000","680,600,000","911,200,000","587,900,000","137,000,000","110,900,000","92,900,000","97,900,000"
	TotalNonCurrentAssets,"180,175,000,000","175,697,000,000","234,386,000,000","246,674,000,000","214,817,000,000","201,101,000,000","163,308,000,000","133,714,000,000","118,411,000,000","71,383,000,000","33,505,000,000","17,586,000,000","4,882,000,000","3,391,000,000","2,696,000,000","1,251,000,000","995,000,000","928,000,000","910,000,000","878,000,000","1,376,000,000","876,000,000","591,000,000","809,000,000","849,000,000","1,007,000,000","826,294,000","833,000,000","665,300,000","630,000,000","572,400,000","449,500,000","299,100,000","170,500,000","119,200,000","114,100,000"
		NetPPE,"36,766,000,000","37,378,000,000","41,304,000,000","33,783,000,000","27,010,000,000","22,471,000,000","20,624,000,000","16,597,000,000","15,452,000,000","7,777,000,000","4,768,000,000","2,954,000,000","2,455,000,000","1,832,000,000","1,281,000,000","817,000,000","707,000,000","669,000,000","621,000,000","564,000,000","313,000,000","318,000,000","348,000,000","486,000,000","598,000,000","711,000,000","667,100,000","659,500,000","462,200,000","448,000,000","398,200,000","334,200,000","207,400,000","130,400,000","107,300,000","90,400,000"
			GrossPPE,"103,526,000,000","95,957,000,000","90,403,000,000","75,076,000,000","61,245,000,000","49,257,000,000","39,015,000,000","28,519,000,000","21,887,000,000","11,768,000,000","7,234,000,000","4,667,000,000","3,747,000,000","2,841,000,000","2,075,000,000","1,481,000,000","1,298,000,000","1,174,000,000","1,057,000,000","924,000,000","700,000,000","729,000,000","824,000,000","1,195,000,000","1,348,000,000","1,492,000,000","1,452,188,000","1,412,600,000","1,135,600,000","1,036,000,000","844,900,000","643,300,000","420,400,000","289,100,000","222,000,000","175,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
				LandAndImprovements,"17,952,000,000","17,085,000,000","16,216,000,000","13,587,000,000","10,185,000,000","6,956,000,000","4,863,000,000","3,309,000,000","2,439,000,000","2,059,000,000","1,471,000,000","955,000,000","810,000,000","762,000,000","626,000,000","361,000,000","351,000,000","350,000,000","342,000,000","337,000,000","324,000,000","323,000,000","338,000,000","453,000,000","480,000,000","504,000,000","484,592,000",,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,"1,324,000,000","1,019,000,000","760,000,000","545,000,000","446,000,000","357,000,000","281,000,000","186,000,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"75,291,000,000","69,797,000,000","65,982,000,000","54,210,000,000","44,543,000,000","37,038,000,000","29,639,000,000","21,242,000,000","15,984,000,000","7,110,000,000","3,733,000,000","2,047,000,000","1,613,000,000","1,060,000,000","689,000,000","575,000,000","501,000,000","467,000,000","434,000,000","401,000,000","245,000,000","281,000,000","357,000,000","570,000,000","680,000,000","783,000,000","730,888,000",,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,,"184,000,000","156,000,000","131,000,000","125,000,000","129,000,000","172,000,000","188,000,000","205,000,000","236,700,000",,,,,,,,,
				Leases,"10,283,000,000","9,075,000,000","8,205,000,000","7,279,000,000","6,517,000,000","5,263,000,000","4,513,000,000","3,968,000,000","3,464,000,000","2,599,000,000","2,030,000,000","1,665,000,000","1,324,000,000","1,019,000,000","760,000,000","545,000,000","446,000,000","357,000,000","281,000,000","186,000,000","131,000,000","125,000,000","129,000,000","172,000,000","188,000,000","205,000,000","236,708,000",,,,,,,,,
			AccumulatedDepreciation,"-66,760,000,000","-58,579,000,000","-49,099,000,000","-41,293,000,000","-34,235,000,000","-26,786,000,000","-18,391,000,000","-11,922,000,000","-6,435,000,000","-3,991,000,000","-2,466,000,000","-1,713,000,000","-1,292,000,000","-1,009,000,000","-794,000,000","-664,000,000","-591,000,000","-505,000,000","-436,000,000","-360,000,000","-387,000,000","-411,000,000","-476,000,000","-709,000,000","-750,000,000","-781,000,000","-785,088,000","-753,100,000","-673,400,000","-588,000,000","-446,700,000","-309,100,000","-213,000,000","-158,700,000","-114,700,000","-85,200,000"
		GoodwillAndOtherIntangibleAssets,,,,"8,015,000,000","8,620,000,000","9,009,000,000","8,758,000,000","5,756,000,000","5,359,000,000","4,432,000,000","1,083,000,000","453,000,000","492,000,000","337,000,000","177,000,000","96,000,000","97,000,000","109,000,000","119,000,000",,,,,,,,,,,,,,,,,
			Goodwill,,,,"5,717,000,000","5,414,000,000","5,116,000,000","4,616,000,000","1,577,000,000","1,135,000,000","896,000,000","741,000,000","206,000,000","207,000,000","38,000,000","38,000,000","69,000,000","80,000,000","85,000,000","85,000,000",,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,,,,"2,298,000,000","3,206,000,000","3,893,000,000","4,142,000,000","4,179,000,000","4,224,000,000","3,536,000,000","342,000,000","247,000,000","285,000,000","299,000,000","139,000,000","27,000,000","17,000,000","24,000,000","34,000,000",,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"100,887,000,000","105,341,000,000","170,799,000,000","194,714,000,000","170,430,000,000","164,065,000,000","130,162,000,000","106,215,000,000","92,122,000,000","55,618,000,000","25,391,000,000","10,528,000,000",,,,,,"5,000,000","39,000,000","128,000,000","786,000,000",,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"100,887,000,000","105,341,000,000","170,799,000,000","194,714,000,000","170,430,000,000","164,065,000,000","130,162,000,000","106,215,000,000","92,122,000,000","55,618,000,000","25,391,000,000","10,528,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"100,887,000,000","105,341,000,000","170,799,000,000","194,714,000,000","170,430,000,000","164,065,000,000","130,162,000,000","106,215,000,000","92,122,000,000","55,618,000,000","25,391,000,000","10,528,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,"1,833,000,000","1,294,000,000","171,000,000","21,000,000","221,000,000","111,000,000","88,000,000",,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,"259,000,000","138,000,000","88,000,000",,"183,000,000","86,000,000","60,000,000",,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,"844,000,000","208,000,000","625,000,000","1,042,000,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"42,522,000,000","32,978,000,000","22,283,000,000","10,162,000,000","8,757,000,000","5,556,000,000","3,764,000,000","5,146,000,000","5,478,000,000","3,556,000,000","2,263,000,000","974,000,000","433,000,000","426,000,000","175,000,000","117,000,000","80,000,000","57,000,000","131,000,000","186,000,000","277,000,000","558,000,000","243,000,000","323,000,000","251,000,000","296,000,000","159,194,000","173,500,000","203,100,000","182,000,000","174,200,000","115,300,000","91,700,000","40,100,000","11,900,000","23,700,000"
TotalLiabilitiesNetMinorityInterest,"258,549,000,000","248,028,000,000","258,578,000,000","241,272,000,000","193,437,000,000","171,124,000,000","120,292,000,000","83,451,000,000","57,854,000,000","39,756,000,000","27,392,000,000","26,019,000,000","18,542,000,000","10,815,000,000","7,221,000,000","4,085,000,000","2,974,000,000","2,592,000,000","2,203,000,000","2,101,000,000","2,696,000,000","2,057,000,000","2,647,000,000","3,033,000,000","3,306,000,000","3,330,000,000","2,919,445,000","3,145,000,000","2,036,300,000","1,726,900,000","1,528,900,000","1,258,200,000","1,078,700,000","641,400,000","466,000,000","385,700,000"
	CurrentLiabilities,"105,392,000,000","105,718,000,000","116,866,000,000","100,814,000,000","79,006,000,000","80,610,000,000","63,448,000,000","43,658,000,000","38,542,000,000","27,970,000,000","20,722,000,000","19,282,000,000","14,092,000,000","9,299,000,000","6,471,000,000","3,484,000,000","2,680,000,000","2,357,000,000","1,658,000,000","1,518,000,000","1,933,000,000","1,549,000,000","1,520,000,000","1,818,000,000","2,003,000,000","2,325,000,000","1,944,305,000","2,515,200,000","1,425,500,000","1,217,100,000","1,027,000,000","895,300,000","827,100,000","478,700,000","328,500,000","295,400,000"
		PayablesAndAccruedExpenses,"42,296,000,000","46,236,000,000","55,888,000,000","74,793,000,000","59,321,000,000","60,671,000,000","37,885,000,000","27,825,000,000","25,258,000,000","17,610,000,000","13,382,000,000","6,609,000,000","6,216,000,000","5,976,000,000","4,360,000,000","2,188,000,000","1,703,000,000","1,345,000,000","1,116,000,000","1,019,000,000","1,414,000,000","1,087,000,000","1,087,000,000","1,271,000,000","1,346,000,000","1,371,000,000","1,118,249,000","742,600,000","426,900,000","357,100,000","340,600,000","334,200,000",,,,
			Payables,"42,296,000,000","46,236,000,000","55,888,000,000","49,049,000,000","37,294,000,000","35,490,000,000","31,405,000,000","23,567,000,000","22,710,000,000","15,772,000,000","12,225,000,000","6,040,000,000","5,620,000,000","5,458,000,000","3,778,000,000","1,779,000,000","1,451,000,000","1,154,000,000","911,000,000","801,000,000","1,157,000,000","812,000,000","719,000,000","685,000,000","791,000,000","1,165,000,000","881,717,000","742,600,000","426,900,000","357,100,000","340,600,000","334,200,000",,,,
				AccountsPayable,"42,296,000,000","46,236,000,000","55,888,000,000","49,049,000,000","37,294,000,000","35,490,000,000","30,196,000,000","22,367,000,000","21,175,000,000","14,632,000,000","12,015,000,000","5,601,000,000","5,520,000,000","4,970,000,000","3,390,000,000","1,779,000,000","1,451,000,000","1,154,000,000","911,000,000","801,000,000","1,157,000,000","812,000,000","719,000,000","685,000,000","791,000,000","1,165,000,000","881,717,000","742,600,000","426,900,000","357,100,000","340,600,000","334,200,000",,,,
				TotalTaxPayable,,,,,,,"1,209,000,000","1,200,000,000","1,535,000,000","1,140,000,000","210,000,000","439,000,000","100,000,000","488,000,000","388,000,000",,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,"210,000,000","439,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,"4,853,000,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,,"25,744,000,000","22,027,000,000","25,181,000,000","6,480,000,000","4,258,000,000","2,548,000,000","1,838,000,000","1,157,000,000","569,000,000","596,000,000","518,000,000","582,000,000","409,000,000","252,000,000","191,000,000","205,000,000","218,000,000","257,000,000","275,000,000","368,000,000","586,000,000","555,000,000","206,000,000","236,532,000",,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,"1,209,000,000","959,000,000","735,000,000","590,000,000","436,000,000","357,000,000","320,000,000","254,000,000","221,000,000","167,000,000","134,000,000","101,000,000","93,000,000","88,000,000","176,000,000","84,000,000","99,000,000","99,000,000","120,000,000","131,000,000","136,895,000",,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"13,769,000,000","16,240,000,000","20,748,000,000","18,473,000,000","11,605,000,000","10,999,000,000","6,308,000,000",,,,,,,,,,,"304,000,000",,,,,,"25,000,000","186,000,000","461,000,000","292,200,000","823,200,000","184,500,000","148,600,000","122,600,000","56,800,000","127,900,000",,,
			CurrentDebt,"13,769,000,000","16,240,000,000","20,748,000,000","18,473,000,000","11,605,000,000","10,999,000,000","6,308,000,000",,,,,,,,,,,"304,000,000",,,,,,"25,000,000","186,000,000","461,000,000","292,200,000","823,200,000","184,500,000","148,600,000","122,600,000","56,800,000","127,900,000",,,
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,"0","25,000,000","186,000,000",,,,,,,,,,,
				CommercialPaper,"4,996,000,000","5,980,000,000","11,964,000,000","11,977,000,000","8,105,000,000","8,499,000,000","6,308,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"8,773,000,000","10,260,000,000","8,784,000,000","6,496,000,000","3,500,000,000","2,500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"6,643,000,000","5,522,000,000","7,543,000,000","7,548,000,000","8,080,000,000","8,940,000,000","9,548,000,000","8,697,000,000","7,445,000,000","6,129,000,000","3,647,000,000","10,530,000,000","5,534,000,000","1,955,000,000","1,070,000,000","501,000,000","544,000,000","368,000,000","253,000,000","184,000,000",,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"6,643,000,000","5,522,000,000","7,543,000,000","7,548,000,000","8,080,000,000","8,940,000,000","8,491,000,000","7,435,000,000","5,953,000,000","4,091,000,000","2,984,000,000","10,305,000,000","4,853,000,000","1,410,000,000","746,000,000","501,000,000","544,000,000","368,000,000","253,000,000","184,000,000",,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"42,684,000,000","37,720,000,000","32,687,000,000",,,,"8,498,000,000","6,177,000,000","5,104,000,000","3,641,000,000","3,257,000,000","1,786,000,000","2,022,000,000","1,114,000,000","820,000,000","628,000,000","299,000,000","239,000,000","196,000,000","227,000,000","343,000,000","378,000,000","334,000,000","423,000,000","351,000,000","362,000,000","396,961,000","949,400,000","814,100,000","711,400,000","563,800,000","504,300,000","699,200,000",,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"153,157,000,000","142,310,000,000","141,712,000,000","140,458,000,000","114,431,000,000","90,514,000,000","56,844,000,000","39,793,000,000","19,312,000,000","11,786,000,000","6,670,000,000","6,737,000,000","4,450,000,000","1,516,000,000","750,000,000","601,000,000","294,000,000","235,000,000","545,000,000","583,000,000","763,000,000","508,000,000","1,127,000,000","1,215,000,000","1,303,000,000","1,005,000,000","975,140,000","629,800,000","610,800,000","509,800,000","501,900,000","362,900,000","251,600,000","162,700,000","137,500,000","90,300,000"
		LongTermDebtAndCapitalLeaseObligation,"98,667,000,000","91,807,000,000","93,735,000,000","97,207,000,000","75,427,000,000","53,463,000,000","28,987,000,000","16,960,000,000",,,,,,,,,,,"316,000,000","317,000,000","300,000,000","300,000,000","954,000,000","951,000,000","949,000,000","303,000,000","304,472,000",,,,,,,,,
			LongTermDebt,"98,667,000,000","91,807,000,000","93,735,000,000","97,207,000,000","75,427,000,000","53,463,000,000","28,987,000,000","16,960,000,000",,,,,,,,,,,"316,000,000","317,000,000","300,000,000","300,000,000","954,000,000","951,000,000","949,000,000","303,000,000","304,472,000",,,,,,,,,
		NonCurrentDeferredLiabilities,,,"3,223,000,000","34,340,000,000","28,949,000,000","27,686,000,000","23,290,000,000","19,114,000,000","16,495,000,000","9,845,000,000","1,139,000,000","5,451,000,000","3,704,000,000","1,449,000,000","736,000,000","589,000,000","294,000,000","235,000,000","229,000,000","266,000,000","463,000,000","208,000,000","173,000,000","264,000,000","354,000,000","702,000,000","670,668,000","629,800,000","610,800,000","509,900,000","501,800,000","362,900,000","251,600,000","162,800,000","137,500,000","90,300,000"
			NonCurrentDeferredTaxesLiabilities,,,"426,000,000","31,504,000,000","26,019,000,000","24,062,000,000","20,259,000,000","16,489,000,000","13,847,000,000","8,159,000,000",,"966,000,000","675,000,000","619,000,000","381,000,000","308,000,000","294,000,000","235,000,000","229,000,000","266,000,000","463,000,000","208,000,000","173,000,000","264,000,000","354,000,000","702,000,000","670,668,000","629,800,000","610,800,000","509,900,000","501,800,000","362,900,000","251,600,000","162,800,000","137,500,000","90,300,000"
			NonCurrentDeferredRevenue,,,"2,797,000,000","2,836,000,000","2,930,000,000","3,624,000,000","3,031,000,000","2,625,000,000","2,648,000,000","1,686,000,000","1,139,000,000","4,485,000,000","3,029,000,000","830,000,000","355,000,000","281,000,000",,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"28,170,000,000","29,545,000,000","33,589,000,000",,,,,,,,"4,300,000,000","2,216,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"26,320,000,000","20,958,000,000","11,165,000,000","8,911,000,000","10,055,000,000","9,365,000,000","4,567,000,000","3,719,000,000","2,817,000,000","1,941,000,000","1,231,000,000","1,286,000,000","746,000,000","67,000,000","14,000,000","12,000,000",,,,,,,,,,,,,,"-100,000","100,000",,,"-100,000",,
TotalEquityGrossMinorityInterest,"65,339,000,000","90,488,000,000","107,147,000,000","134,047,000,000","128,249,000,000","119,355,000,000","111,547,000,000","123,549,000,000","118,210,000,000","76,615,000,000","47,791,000,000","27,832,000,000","21,030,000,000","14,532,000,000","9,984,000,000","7,466,000,000","5,076,000,000","4,223,000,000","4,095,000,000","3,920,000,000","4,107,000,000","3,104,000,000","1,642,000,000","1,200,000,000","2,058,000,000","2,901,000,000","2,383,301,000","2,026,400,000","2,187,400,000","1,766,700,000","1,446,800,000","1,485,700,000","1,003,400,000","836,500,000","694,100,000","550,500,000"
	StockholdersEquity,"65,339,000,000","90,488,000,000","107,147,000,000","134,047,000,000","128,249,000,000","119,355,000,000","111,547,000,000","123,549,000,000","118,210,000,000","76,615,000,000","47,791,000,000","27,832,000,000","21,030,000,000","14,532,000,000","9,984,000,000","7,466,000,000","5,076,000,000","4,223,000,000","4,095,000,000","3,920,000,000","4,107,000,000","3,104,000,000","1,642,000,000","1,200,000,000","2,058,000,000","2,901,000,000","2,383,301,000","2,026,400,000","2,187,400,000","1,766,700,000","1,446,800,000","1,485,700,000","1,003,400,000","836,500,000","694,100,000","550,500,000"
		CapitalStock,"50,779,000,000","45,174,000,000","40,201,000,000","35,867,000,000","31,251,000,000","27,416,000,000","23,313,000,000","19,764,000,000","16,422,000,000","13,331,000,000","10,668,000,000","8,210,000,000","7,177,000,000","5,368,000,000","4,355,000,000","3,521,000,000","2,514,000,000","1,926,000,000","1,826,000,000","1,693,000,000","1,578,000,000","1,499,000,000","783,000,000","648,000,000","439,000,000","398,000,000","297,929,000",,,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,"0","76,000,000","150,000,000","150,000,000","150,000,000",,,,,,,,,,,,
