name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989
OperatingCashFlow,"88,921,000,000","80,674,000,000","69,391,000,000","77,434,000,000","63,598,000,000","65,824,000,000","81,266,000,000","59,713,000,000","53,666,000,000","50,856,000,000","37,529,000,000","18,595,000,000","10,159,000,000","9,596,000,000","5,470,000,000","2,220,000,000","2,535,000,000","934,000,000","289,000,000","89,000,000","185,000,000","826,000,000","798,000,000","775,000,000","188,000,000","519,000,000","-240,000,000","736,995,000","-661,800,000","883,700,000","128,700,000","963,900,000","507,300,000"
	CashFlowFromContinuingOperatingActivities,"88,921,000,000","80,674,000,000","69,391,000,000","77,434,000,000","63,598,000,000","65,824,000,000","81,266,000,000","59,713,000,000","53,666,000,000","50,856,000,000","37,529,000,000","18,595,000,000","10,159,000,000","9,596,000,000","5,470,000,000","2,220,000,000","2,535,000,000","934,000,000","289,000,000","89,000,000","185,000,000","826,000,000","798,000,000","775,000,000","188,000,000","519,000,000","-240,000,000","736,995,000","-661,800,000","883,700,000","128,700,000","963,900,000","507,300,000"
		NetIncomeFromContinuingOperations,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","68,000,000","65,000,000","-37,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000"
		OperatingGainsLosses,,,,,,,,,,,,"24,000,000","26,000,000","22,000,000","12,000,000","15,000,000","9,000,000","2,000,000","-35,000,000","42,000,000","-79,000,000","-364,000,000","-230,000,000","-40,000,000","70,000,000","70,000,000","6,000,000","11,130,000","13,100,000","14,700,000","7,000,000","2,200,000","-73,900,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,"-367,000,000",,"-40,000,000",,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,"24,000,000","26,000,000","22,000,000","12,000,000","15,000,000","9,000,000","7,000,000","2,000,000","7,000,000","9,000,000","3,000,000","0","0","70,000,000","70,000,000","6,000,000","11,130,000",,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,"-5,000,000","-37,000,000","35,000,000","-88,000,000",,"-230,000,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"10,906,000,000","11,056,000,000","12,547,000,000","10,903,000,000","10,157,000,000","10,505,000,000","11,257,000,000","7,946,000,000","6,757,000,000","3,277,000,000","1,814,000,000","1,027,000,000","703,000,000","473,000,000","317,000,000","225,000,000","179,000,000","150,000,000","113,000,000","118,000,000","102,000,000","84,000,000","85,000,000","111,000,000","118,000,000","156,000,000","127,000,000","167,958,000","166,100,000","217,200,000","204,400,000","202,700,000","124,800,000"
			DepreciationAndAmortization,"10,906,000,000","11,056,000,000","12,547,000,000","10,903,000,000","10,157,000,000","10,505,000,000","11,257,000,000","7,946,000,000","6,757,000,000","3,277,000,000","1,814,000,000","1,027,000,000","703,000,000","473,000,000","317,000,000","225,000,000","179,000,000","150,000,000","113,000,000","118,000,000","102,000,000","84,000,000","85,000,000","111,000,000","118,000,000","156,000,000","127,000,000","167,958,000","166,100,000","217,200,000","204,400,000","202,700,000","124,800,000"
		DeferredTax,"76,000,000","-215,000,000","-340,000,000","-32,590,000,000","5,966,000,000","4,938,000,000","1,382,000,000","2,347,000,000","1,141,000,000","4,405,000,000","2,868,000,000","1,440,000,000","-519,000,000","-368,000,000","78,000,000","53,000,000","505,000,000","20,000,000","-11,000,000","-34,000,000","-36,000,000","163,000,000","-35,000,000","1,000,000","-7,000,000","-439,000,000","73,000,000","40,800,000","19,000,000","100,900,000","8,000,000","138,900,000","111,300,000"
