name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"354,054,000,000","323,888,000,000","317,344,000,000","320,400,000,000","340,618,000,000","338,516,000,000","322,239,000,000","341,998,000,000","373,719,000,000","365,725,000,000","349,197,000,000","367,502,000,000","406,794,000,000","375,319,000,000","345,173,000,000","334,532,000,000","331,141,000,000","321,686,000,000","305,602,000,000","305,277,000,000","293,284,000,000","290,479,000,000","273,151,000,000","261,194,000,000","261,894,000,000","231,839,000,000","222,520,000,000","205,989,000,000","225,184,000,000","207,000,000,000","199,856,000,000","194,743,000,000","196,088,000,000","176,064,000,000","162,896,000,000","150,934,000,000","138,681,000,000","116,371,000,000","106,758,000,000","94,904,000,000","86,742,000,000","75,183,000,000","64,725,000,000","57,057,000,000","53,926,000,000","53,851,000,000","48,140,000,000","43,237,000,000","42,787,000,000","39,572,000,000","31,709,000,000","30,471,000,000","30,039,000,000","25,347,000,000","21,647,000,000","18,711,000,000","19,461,000,000","17,205,000,000","15,114,000,000","13,911,000,000","14,181,000,000","11,551,000,000","10,488,000,000","10,111,000,000","9,362,000,000","8,050,000,000","7,223,000,000","6,735,000,000","6,971,000,000","6,815,000,000","6,441,000,000","6,361,000,000","6,269,000,000","6,298,000,000","6,293,000,000","6,264,000,000","6,122,000,000","6,021,000,000","6,071,000,000","6,130,000,000","5,986,000,000","6,803,000,000","6,932,000,000","7,007,000,000","7,586,000,000","5,161,000,000","5,019,000,000","4,935,000,000","4,592,000,000","4,289,000,000","4,041,000,000","3,963,000,000","4,126,000,000","4,233,000,000","4,341,000,000","4,487,000,000","5,272,000,000","5,364,000,000","5,345,000,000","5,234,000,000","6,553,000,000","6,231,000,000","6,112,000,000","6,050,000,000","5,533,000,000","5,302,746,000","5,123,412,000","5,285,900,000","5,042,440,000","5,171,400,000","4,768,000,000","4,470,100,000","4,494,600,000","4,223,700,000","4,121,200,000","3,940,900,000","3,745,500,000","3,493,600,000","3,455,500,000","3,422,200,000","3,157,300,000","2,975,700,000","2,889,500,000","2,775,700,000","2,813,300,000","2,743,900,000","2,082,100,000","1,477,900,000","1,160,100,000","936,200,000"
	CurrentAssets,"154,106,000,000","143,713,000,000","140,065,000,000","143,753,000,000","163,231,000,000","162,819,000,000","134,973,000,000","123,346,000,000","140,828,000,000","131,339,000,000","115,761,000,000","130,053,000,000","143,810,000,000","128,645,000,000","112,875,000,000","101,990,000,000","103,332,000,000","106,869,000,000","93,761,000,000","87,592,000,000","76,219,000,000","89,378,000,000","70,953,000,000","67,891,000,000","83,403,000,000","68,531,000,000","67,949,000,000","70,541,000,000","80,347,000,000","73,286,000,000","68,219,000,000","63,337,000,000","72,348,000,000","57,653,000,000","51,943,000,000","50,712,000,000","54,771,000,000","44,988,000,000","46,898,000,000","46,997,000,000","43,927,000,000","41,678,000,000","36,033,000,000","32,336,000,000","33,332,000,000","36,265,000,000","35,170,000,000","33,853,000,000","35,163,000,000","34,690,000,000","27,998,000,000","26,736,000,000","26,189,000,000","21,956,000,000","18,745,000,000","16,029,000,000","16,664,000,000","14,509,000,000","12,491,000,000","11,286,000,000","12,162,000,000","10,300,000,000","9,376,000,000","9,007,000,000","8,322,000,000","7,055,000,000","6,286,000,000","5,784,000,000","6,029,000,000","5,887,000,000","5,546,000,000","5,468,000,000","5,384,000,000","5,388,000,000","5,443,000,000","5,414,000,000","5,272,000,000","5,143,000,000","5,248,000,000","5,345,000,000","4,926,000,000","5,427,000,000","5,157,000,000","4,912,000,000","4,909,000,000","4,285,000,000","4,298,000,000","4,092,000,000","3,867,000,000","3,698,000,000","3,375,000,000","3,213,000,000","3,373,000,000","3,424,000,000","3,493,000,000","3,642,000,000","4,419,000,000","4,515,000,000","4,454,000,000","4,277,000,000","5,551,000,000","5,224,000,000","5,191,000,000","5,161,000,000","4,718,000,000","4,476,452,000","4,259,989,000","4,421,800,000","4,208,007,000","4,338,400,000","3,920,400,000","3,654,600,000","3,703,300,000","3,558,400,000","3,423,200,000","3,256,900,000","3,071,600,000","2,863,600,000","2,828,300,000","2,812,900,000","2,544,000,000","2,403,300,000","2,339,000,000","2,269,700,000","2,325,500,000","2,294,400,000","1,783,000,000","1,307,400,000","1,040,900,000","822,100,000"
		CashCashEquivalentsAndShortTermInvestments,"76,826,000,000","90,943,000,000","93,025,000,000","94,051,000,000","107,162,000,000","100,557,000,000","94,614,000,000","80,092,000,000","86,427,000,000","66,301,000,000","70,970,000,000","87,940,000,000","77,153,000,000","74,181,000,000","76,759,000,000","67,101,000,000","60,452,000,000","67,155,000,000","61,756,000,000","55,283,000,000","38,074,000,000","41,601,000,000","34,703,000,000","33,096,000,000","32,463,000,000","25,077,000,000","37,805,000,000","41,350,000,000","40,711,000,000","40,546,000,000","42,606,000,000","39,137,000,000","39,820,000,000","29,129,000,000","27,654,000,000","28,538,000,000","30,156,000,000","25,952,000,000","28,395,000,000","29,234,000,000","26,977,000,000","25,620,000,000","24,288,000,000","23,155,000,000","24,796,000,000","23,464,000,000","24,222,000,000","25,013,000,000","25,647,000,000","24,490,000,000","20,774,000,000","19,448,000,000","18,448,000,000","15,386,000,000","13,767,000,000","12,577,000,000","11,869,000,000","10,110,000,000","9,176,000,000","8,226,000,000","8,707,000,000","8,261,000,000","7,526,000,000","7,057,000,000","6,448,000,000","5,464,000,000","4,966,000,000","4,594,000,000","4,791,000,000","4,566,000,000","4,545,000,000","4,526,000,000","4,462,000,000","4,337,000,000","4,306,000,000","4,309,000,000","4,367,000,000","4,336,000,000","4,218,000,000","4,144,000,000","4,065,000,000","4,027,000,000","3,826,000,000","3,609,000,000","3,660,000,000","3,226,000,000","3,106,000,000","2,922,000,000","2,578,000,000","2,300,000,000","1,993,000,000","1,823,000,000","1,627,000,000","1,459,000,000","1,230,000,000","1,459,000,000","1,807,000,000","1,745,000,000","1,359,000,000","592,000,000","1,100,000,000","952,000,000","1,676,000,000","1,986,000,000","1,587,000,000","1,257,856,000","1,228,294,000","1,086,600,000","1,122,775,000","676,400,000","393,200,000","560,600,000","584,400,000","498,600,000","731,300,000","766,800,000","530,100,000","604,100,000","773,700,000","874,300,000","739,300,000","374,700,000","665,000,000","645,800,000","410,500,000","438,300,000","545,700,000","565,100,000","576,200,000","337,000,000"
			CashAndCashEquivalents,"36,010,000,000","38,016,000,000","33,383,000,000","40,174,000,000","39,771,000,000","48,844,000,000","50,530,000,000","37,988,000,000","44,771,000,000","25,913,000,000","31,971,000,000","45,059,000,000","27,491,000,000","20,289,000,000","18,571,000,000","15,157,000,000","16,371,000,000","20,484,000,000","18,237,000,000","21,514,000,000","16,689,000,000","21,120,000,000","15,319,000,000","14,489,000,000","19,478,000,000","13,844,000,000","12,977,000,000","18,949,000,000","14,077,000,000","14,259,000,000","11,248,000,000","12,053,000,000","16,154,000,000","10,746,000,000","7,945,000,000","10,121,000,000","10,310,000,000","9,815,000,000","12,091,000,000","15,978,000,000","10,734,000,000","11,261,000,000","9,705,000,000","10,018,000,000","7,609,000,000","5,263,000,000","5,605,000,000","4,466,000,000","7,236,000,000","11,875,000,000","9,373,000,000","9,070,000,000","9,162,000,000","9,352,000,000","7,118,000,000","7,095,000,000","7,159,000,000","6,392,000,000","8,013,000,000","6,346,000,000","4,150,000,000","3,491,000,000","3,094,000,000","2,254,000,000","2,475,000,000","2,969,000,000","3,120,000,000","3,158,000,000","3,724,000,000","3,396,000,000","3,507,000,000","3,410,000,000","2,612,000,000","2,252,000,000","1,246,000,000","1,159,000,000","1,946,000,000","2,310,000,000","2,121,000,000","2,138,000,000","1,737,000,000","1,191,000,000","1,344,000,000","1,662,000,000","1,586,000,000","1,326,000,000","1,773,000,000","1,358,000,000","1,221,000,000","1,481,000,000","1,203,000,000","1,285,000,000","1,193,000,000","1,230,000,000","1,018,000,000","1,273,000,000","1,174,000,000","1,552,000,000","1,359,000,000","500,000,000","824,000,000","756,000,000","1,168,000,000","1,375,000,000","1,148,000,000","1,203,488,000","1,141,695,000","1,086,600,000","972,388,000","676,400,000","393,200,000","560,600,000","584,400,000","498,600,000","731,300,000","766,800,000","530,100,000","604,100,000","773,700,000","874,300,000","739,300,000","374,700,000","665,000,000","645,800,000","410,500,000","438,300,000","545,700,000","565,100,000","576,200,000","337,000,000"
				CashFinancial,"18,729,000,000","17,773,000,000","20,253,000,000","24,405,000,000","11,383,000,000","12,204,000,000","12,075,000,000","11,751,000,000","9,489,000,000","11,575,000,000","9,973,000,000","9,934,000,000","9,529,000,000","7,982,000,000","8,529,000,000","7,600,000,000","9,359,000,000","8,601,000,000","9,118,000,000","10,199,000,000","11,152,000,000","11,389,000,000","10,451,000,000","9,879,000,000","13,757,000,000","10,232,000,000","8,317,000,000","10,948,000,000","8,404,000,000","8,705,000,000","6,196,000,000","5,865,000,000","7,080,000,000","3,109,000,000","3,269,000,000","2,911,000,000","3,956,000,000","2,903,000,000","2,769,000,000","3,203,000,000","3,000,000,000",,,,,,,,,,,,,,,"176,000,000","334,000,000","200,000,000","235,000,000","477,000,000","233,000,000","127,000,000","158,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"17,281,000,000","20,243,000,000","13,130,000,000","15,769,000,000","28,388,000,000","36,640,000,000","38,455,000,000","26,237,000,000","35,282,000,000","14,338,000,000","21,998,000,000","35,125,000,000","17,962,000,000","12,307,000,000","10,042,000,000","7,557,000,000","7,012,000,000","11,883,000,000","9,119,000,000","11,315,000,000","5,537,000,000","9,731,000,000","4,868,000,000","4,610,000,000","5,721,000,000","3,612,000,000","4,660,000,000","8,001,000,000","5,673,000,000","5,554,000,000","5,052,000,000","6,188,000,000","9,074,000,000","7,637,000,000","4,676,000,000","7,210,000,000","6,354,000,000","6,912,000,000","9,322,000,000","12,775,000,000","7,734,000,000",,,,,,,,,,,,,,,"6,919,000,000","6,825,000,000","6,192,000,000","7,778,000,000","5,869,000,000","3,917,000,000","3,364,000,000","2,936,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"40,816,000,000","52,927,000,000","59,642,000,000","53,877,000,000","67,391,000,000","51,713,000,000","44,084,000,000","42,104,000,000","41,656,000,000","40,388,000,000","38,999,000,000","42,881,000,000","49,662,000,000","53,892,000,000","58,188,000,000","51,944,000,000","44,081,000,000","46,671,000,000","43,519,000,000","33,769,000,000","21,385,000,000","20,481,000,000","19,384,000,000","18,607,000,000","12,985,000,000","11,233,000,000","24,828,000,000","22,401,000,000","26,634,000,000","26,287,000,000","31,358,000,000","27,084,000,000","23,666,000,000","18,383,000,000","19,709,000,000","18,417,000,000","19,846,000,000","16,137,000,000","16,304,000,000","13,256,000,000","16,243,000,000","14,359,000,000","14,583,000,000","13,137,000,000","17,187,000,000","18,201,000,000","18,617,000,000","20,547,000,000","18,411,000,000","12,615,000,000","11,401,000,000","10,378,000,000","9,286,000,000","6,034,000,000","6,649,000,000","5,482,000,000","4,710,000,000","3,718,000,000","1,163,000,000","1,880,000,000","4,557,000,000","4,770,000,000","4,432,000,000","4,803,000,000","3,973,000,000","2,495,000,000","1,846,000,000","1,436,000,000","1,067,000,000","1,170,000,000","1,038,000,000","1,116,000,000","1,850,000,000","2,085,000,000","3,060,000,000","3,150,000,000","2,421,000,000","2,026,000,000","2,097,000,000","2,006,000,000","2,328,000,000","2,836,000,000","2,482,000,000","1,947,000,000","2,074,000,000","1,900,000,000","1,333,000,000","1,564,000,000","1,357,000,000","819,000,000","790,000,000","538,000,000","434,000,000","229,000,000","212,000,000","186,000,000","633,000,000","193,000,000",,"92,000,000","276,000,000","196,000,000","508,000,000","611,000,000","439,000,000","54,368,000","86,599,000",,"150,387,000",,,,,,,,,,,,,,,,,,,,,
		Receivables,"58,620,000,000","37,445,000,000","32,075,000,000","30,677,000,000","39,946,000,000","45,804,000,000","26,474,000,000","26,278,000,000","36,981,000,000","48,995,000,000","26,367,000,000","22,408,000,000","50,899,000,000","35,673,000,000","22,632,000,000","20,612,000,000","27,977,000,000","29,299,000,000","19,042,000,000","19,824,000,000","24,621,000,000","30,343,000,000","19,907,000,000","18,164,000,000","29,976,000,000","27,219,000,000","16,841,000,000","15,820,000,000","25,198,000,000","20,641,000,000","13,453,000,000","13,336,000,000","21,534,000,000","18,692,000,000","14,298,000,000","13,769,000,000","16,484,000,000","11,717,000,000","11,471,000,000","11,095,000,000","10,874,000,000","9,924,000,000","6,399,000,000","2,886,000,000","4,881,000,000","5,057,000,000","4,180,000,000","3,036,000,000","3,413,000,000","4,704,000,000","3,245,000,000","3,620,000,000","4,422,000,000","4,029,000,000","2,901,000,000","1,667,000,000","3,113,000,000","2,845,000,000","2,094,000,000","1,984,000,000","2,413,000,000","1,312,000,000","1,101,000,000","1,242,000,000","1,197,000,000","1,050,000,000","852,000,000","758,000,000","787,000,000","950,000,000","674,000,000","621,000,000","497,000,000","565,000,000","626,000,000","644,000,000","498,000,000","466,000,000","598,000,000","637,000,000","441,000,000","953,000,000","967,000,000","940,000,000","892,000,000","681,000,000","896,000,000","804,000,000","913,000,000","955,000,000","915,000,000","807,000,000","902,000,000","1,035,000,000","1,207,000,000","1,149,000,000","1,492,000,000","1,496,000,000","1,292,000,000","1,366,000,000","1,944,000,000","1,931,000,000","1,553,000,000","1,633,000,000","1,599,000,000","1,581,347,000","1,277,083,000","1,343,200,000","1,247,954,000","1,381,900,000","1,265,400,000","1,285,700,000","1,198,700,000","1,087,200,000","956,600,000","873,300,000","973,500,000","907,200,000","767,100,000","790,900,000","853,500,000","761,900,000","705,500,000","658,800,000","749,000,000","792,800,000","638,800,000","405,600,000","263,100,000","220,200,000"
			AccountsReceivable,"27,101,000,000","16,120,000,000","17,882,000,000","15,722,000,000","20,970,000,000","22,926,000,000","14,148,000,000","15,085,000,000","18,077,000,000","23,186,000,000","14,104,000,000","14,324,000,000","23,440,000,000","17,874,000,000","12,399,000,000","11,579,000,000","14,057,000,000","15,754,000,000","11,714,000,000","12,229,000,000","12,953,000,000","16,849,000,000","10,370,000,000","10,905,000,000","16,709,000,000","17,460,000,000","10,788,000,000","9,700,000,000","14,200,000,000","13,102,000,000","8,839,000,000","7,084,000,000","11,598,000,000","10,930,000,000","7,657,000,000","7,042,000,000","8,930,000,000","5,369,000,000","6,102,000,000","5,798,000,000","6,027,000,000","5,510,000,000","3,447,000,000","2,886,000,000","3,090,000,000","3,361,000,000","2,686,000,000","1,932,000,000","2,196,000,000","2,422,000,000","1,603,000,000","1,593,000,000","1,939,000,000","1,637,000,000","1,410,000,000","928,000,000","1,621,000,000","1,252,000,000","1,089,000,000","861,000,000","1,331,000,000","895,000,000","827,000,000","888,000,000","865,000,000","774,000,000","629,000,000","585,000,000","586,000,000","766,000,000","568,000,000","492,000,000","497,000,000","565,000,000","626,000,000","644,000,000","498,000,000","466,000,000","598,000,000","637,000,000","441,000,000","953,000,000","967,000,000","940,000,000","892,000,000","681,000,000","896,000,000","804,000,000","913,000,000","955,000,000","915,000,000","807,000,000","902,000,000","1,035,000,000","1,207,000,000","1,149,000,000","1,492,000,000","1,496,000,000","1,292,000,000","1,366,000,000","1,944,000,000","1,931,000,000","1,553,000,000","1,633,000,000","1,599,000,000","1,581,347,000","1,277,083,000",,"1,247,954,000",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,"14,384,000,000","23,499,000,000","17,932,000,000","12,454,000,000","11,632,000,000","14,110,000,000","15,807,000,000","11,769,000,000","12,289,000,000","13,016,000,000","16,931,000,000","10,453,000,000","10,988,000,000","16,796,000,000","17,546,000,000","10,874,000,000","9,788,000,000","14,294,000,000","13,201,000,000","8,943,000,000","7,183,000,000","11,717,000,000","11,028,000,000","7,751,000,000","7,125,000,000","9,008,000,000","5,422,000,000","6,157,000,000","5,855,000,000","6,089,000,000","5,565,000,000","3,499,000,000","2,943,000,000","3,144,000,000","3,413,000,000","2,744,000,000","1,992,000,000","2,250,000,000","2,469,000,000","1,647,000,000","1,637,000,000","1,984,000,000","1,684,000,000","1,457,000,000","976,000,000","1,671,000,000","1,304,000,000","1,140,000,000","909,000,000","1,381,000,000","941,000,000","876,000,000","939,000,000","916,000,000","821,000,000","676,000,000","633,000,000","634,000,000","815,000,000","617,000,000","540,000,000","546,000,000","616,000,000","678,000,000","696,000,000","551,000,000","517,000,000","650,000,000","691,000,000","502,000,000","1,017,000,000","1,030,000,000","1,004,000,000","958,000,000","749,000,000","965,000,000","883,000,000","994,000,000","1,036,000,000","1,005,000,000","903,000,000","998,000,000","1,134,000,000","1,307,000,000","1,245,000,000","1,584,000,000","1,587,000,000","1,388,000,000","1,453,000,000","2,036,000,000","2,018,000,000","1,651,000,000","1,730,000,000","1,692,000,000","1,672,339,000","1,365,404,000",,"1,335,896,000",,,,,,,,,,,,,,,,,,,,,
