name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"88,921,000,000","38,763,000,000","20,576,000,000","16,271,000,000","13,311,000,000","30,516,000,000","19,910,000,000","11,636,000,000","11,155,000,000","26,690,000,000","19,523,000,000","14,488,000,000","15,130,000,000","28,293,000,000","15,656,000,000","8,363,000,000","12,523,000,000","27,056,000,000","16,126,000,000","10,634,000,000","11,601,000,000","27,463,000,000","13,475,000,000","14,988,000,000","19,081,000,000","33,722,000,000","13,250,000,000","10,255,000,000","13,538,000,000","22,670,000,000","9,908,000,000","7,828,000,000","12,504,000,000","23,426,000,000","9,136,000,000","10,189,000,000","13,977,000,000","17,554,000,000","10,429,000,000","11,108,000,000","6,219,000,000","9,773,000,000","5,683,000,000","4,801,000,000","2,330,000,000","5,781,000,000","3,110,000,000","2,270,000,000","841,000,000","3,938,000,000","4,295,000,000","1,321,000,000","1,193,000,000","2,787,000,000","1,696,000,000","1,227,000,000","734,000,000","1,813,000,000","1,055,000,000","1,007,000,000","-125,000,000","283,000,000","752,000,000","472,000,000","536,000,000","775,000,000","443,000,000","211,000,000","61,000,000","219,000,000","73,000,000","8,000,000","98,000,000","110,000,000","82,000,000","-37,000,000","2,000,000","42,000,000","275,000,000","-33,000,000","-44,000,000","-13,000,000","158,000,000","234,000,000","61,000,000","373,000,000","218,000,000","88,000,000","269,000,000","223,000,000","323,000,000","165,000,000","144,000,000","143,000,000","198,000,000","-204,000,000","100,000,000","94,000,000","407,000,000","289,000,000","-364,000,000","187,000,000","-673,000,000","-27,000,000","7,000,000","453,000,000","242,038,000","141,957,000","-14,431,000","367,431,000","-399,800,000","-288,000,000","-52,800,000","78,800,000","21,100,000","235,600,000","321,300,000","305,700,000","55,400,000","-135,500,000","-18,100,000","226,900,000","97,700,000","301,800,000","303,300,000","261,100,000"
	CashFlowFromContinuingOperatingActivities,"88,921,000,000","38,763,000,000","20,576,000,000","16,271,000,000","13,311,000,000","30,516,000,000","19,910,000,000","11,636,000,000","11,155,000,000","26,690,000,000","19,523,000,000","14,488,000,000","15,130,000,000","28,293,000,000","15,656,000,000","8,363,000,000","12,523,000,000","27,056,000,000","16,126,000,000","10,634,000,000","11,601,000,000","27,463,000,000","13,475,000,000","14,988,000,000","19,081,000,000","33,722,000,000","13,250,000,000","10,255,000,000","13,538,000,000","22,670,000,000","9,908,000,000","7,828,000,000","12,504,000,000","23,426,000,000","9,136,000,000","10,189,000,000","13,977,000,000","17,554,000,000","10,429,000,000","11,108,000,000","6,219,000,000","9,773,000,000","5,683,000,000","4,801,000,000","2,330,000,000","5,781,000,000","3,110,000,000","2,270,000,000","841,000,000","3,938,000,000","4,295,000,000","1,321,000,000","1,193,000,000","2,787,000,000","1,696,000,000","1,227,000,000","734,000,000","1,813,000,000","1,055,000,000","1,007,000,000","-125,000,000","283,000,000","752,000,000","472,000,000","536,000,000","775,000,000","443,000,000","211,000,000","61,000,000","219,000,000","73,000,000","8,000,000","98,000,000","110,000,000","82,000,000","-37,000,000","2,000,000","42,000,000","275,000,000","-33,000,000","-44,000,000","-13,000,000","158,000,000","234,000,000","61,000,000","373,000,000","218,000,000","88,000,000","269,000,000","223,000,000","323,000,000","165,000,000","144,000,000","143,000,000","198,000,000","-204,000,000","100,000,000","94,000,000","407,000,000","289,000,000","-364,000,000","187,000,000","-673,000,000","-27,000,000","7,000,000","453,000,000","242,038,000","141,957,000","-14,431,000","367,431,000","-399,800,000","-288,000,000","-52,800,000","78,800,000","21,100,000","235,600,000","321,300,000","305,700,000","55,400,000","-135,500,000","-18,100,000","226,900,000","97,700,000","301,800,000","303,300,000","261,100,000"
		NetIncomeFromContinuingOperations,"63,930,000,000","28,755,000,000","12,673,000,000","11,253,000,000","11,249,000,000","22,236,000,000","13,686,000,000","10,044,000,000","11,561,000,000","19,965,000,000","14,125,000,000","11,519,000,000","13,822,000,000","20,065,000,000","10,714,000,000","8,717,000,000","11,029,000,000","17,891,000,000","9,014,000,000","7,796,000,000","10,516,000,000","18,361,000,000","11,124,000,000","10,677,000,000","13,569,000,000","18,024,000,000","8,467,000,000","7,748,000,000","10,223,000,000","13,072,000,000","7,512,000,000","6,900,000,000","9,547,000,000","13,078,000,000","8,223,000,000","8,824,000,000","11,622,000,000","13,064,000,000","6,623,000,000","7,308,000,000","5,987,000,000","6,004,000,000","4,308,000,000","3,253,000,000","3,074,000,000","3,378,000,000","1,665,000,000","1,229,000,000","1,205,000,000","1,605,000,000","1,136,000,000","1,072,000,000","1,045,000,000","1,581,000,000","904,000,000","818,000,000","770,000,000","1,004,000,000","542,000,000","472,000,000","410,000,000","565,000,000","430,000,000","320,000,000","290,000,000","295,000,000","106,000,000","61,000,000","46,000,000","63,000,000","41,000,000","19,000,000","14,000,000","-6,000,000","-45,000,000","32,000,000","40,000,000","38,000,000","66,000,000","61,000,000","43,000,000","-207,000,000","170,000,000","200,000,000","233,000,000","183,000,000","111,000,000","203,000,000","135,000,000","152,000,000","106,000,000","101,000,000","55,000,000","47,000,000","-161,000,000","-56,000,000","-708,000,000","-120,000,000","25,000,000","-32,000,000","-740,000,000","-69,000,000","60,000,000","103,000,000","73,000,000","188,000,000","114,655,000","138,523,000","16,982,000","40,018,000","2,700,000","-188,300,000","110,900,000","161,300,000","97,600,000","131,700,000","135,100,000","166,000,000","81,200,000","-53,100,000","131,200,000","150,500,000","98,500,000","119,700,000","131,900,000","124,800,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","5,000,000","3,000,000","6,000,000","8,000,000","10,000,000","1,000,000","7,000,000","7,000,000","5,000,000","-4,000,000","14,000,000","5,000,000","1,000,000","1,000,000","5,000,000","10,000,000","2,000,000","45,000,000","44,000,000","3,000,000","2,000,000","2,000,000","2,000,000","4,000,000","2,000,000","0","-4,000,000","-14,000,000","-5,000,000","-10,000,000","-6,000,000","64,000,000","-3,000,000","2,000,000","-21,000,000","-9,000,000","-8,000,000","9,000,000","-71,000,000","-80,000,000","-51,000,000","-102,000,000","-131,000,000","-42,000,000","-101,000,000","-54,000,000","-33,000,000","0",,,,"30,000,000","8,000,000","30,000,000","2,000,000","27,000,000",,,"1,000,000","5,000,000","0","-4,000,000","5,000,000","661,000","469,000","3,152,000","6,848,000","6,900,000","4,700,000","500,000","1,000,000","6,500,000","2,900,000","1,800,000","3,500,000","3,000,000","100,000","3,500,000","400,000","1,000,000","500,000","200,000","500,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-83,000,000","-50,000,000",,,,"-101,000,000","-55,000,000","-32,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","5,000,000","3,000,000","6,000,000","8,000,000","10,000,000","1,000,000","7,000,000","7,000,000","5,000,000","-4,000,000","14,000,000","5,000,000","1,000,000","1,000,000","5,000,000","10,000,000","2,000,000","3,000,000","0","3,000,000","2,000,000","2,000,000","2,000,000","4,000,000","3,000,000","0","0","0","0","-1,000,000","3,000,000","1,000,000","2,000,000","2,000,000","2,000,000","5,000,000","3,000,000","1,000,000","0",,,"-2,000,000","3,000,000",,,,"-1,000,000",,,,,"30,000,000","8,000,000","30,000,000","2,000,000","27,000,000",,,"1,000,000","5,000,000","0","-4,000,000","5,000,000","661,000","469,000","3,152,000","6,848,000",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-1,000,000","0","-4,000,000","-14,000,000","-5,000,000","-9,000,000","-9,000,000","63,000,000","-5,000,000","0","-23,000,000","-14,000,000","-11,000,000","8,000,000","-71,000,000",,,,"-134,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"10,906,000,000","2,666,000,000","2,702,000,000","2,752,000,000","2,786,000,000","2,816,000,000","3,179,000,000","2,933,000,000","3,040,000,000","3,395,000,000","2,754,000,000","2,665,000,000","2,739,000,000","2,745,000,000","2,484,000,000","2,354,000,000","2,332,000,000","2,987,000,000","2,548,000,000","2,526,000,000","2,477,000,000","2,954,000,000","3,119,000,000","3,084,000,000","2,479,000,000","2,575,000,000","1,969,000,000","1,946,000,000","1,887,000,000","2,144,000,000","1,783,000,000","1,694,000,000","1,692,000,000","1,588,000,000","981,000,000","835,000,000","740,000,000","721,000,000","543,000,000","481,000,000","434,000,000","356,000,000","329,000,000","273,000,000","216,000,000","209,000,000","197,000,000","176,000,000","172,000,000","158,000,000","134,000,000","117,000,000","116,000,000","106,000,000","93,000,000","81,000,000","69,000,000","74,000,000","66,000,000","57,000,000","50,000,000","52,000,000","51,000,000","46,000,000","41,000,000","41,000,000","40,000,000","41,000,000","36,000,000","33,000,000","20,000,000","31,000,000","30,000,000","32,000,000","33,000,000","28,000,000","29,000,000","28,000,000","30,000,000","26,000,000","22,000,000","24,000,000","18,000,000","25,000,000","21,000,000","20,000,000","19,000,000","19,000,000","24,000,000","23,000,000","23,000,000","32,000,000","28,000,000","28,000,000","41,000,000","22,000,000","30,000,000","25,000,000","46,000,000","22,000,000","46,000,000","42,000,000","23,000,000","37,000,000","29,000,000","38,000,000","45,620,000","41,338,000","38,394,000","42,606,000","42,500,000","41,400,000","42,800,000","39,400,000","60,000,000","57,200,000","50,200,000","49,800,000","57,900,000","53,500,000","45,900,000","47,100,000","60,800,000","49,900,000","44,200,000","47,800,000"
			DepreciationAndAmortization,"10,906,000,000","2,666,000,000","2,702,000,000","2,752,000,000","2,786,000,000","2,816,000,000","3,179,000,000","2,933,000,000","3,040,000,000","3,395,000,000","2,754,000,000","2,665,000,000","2,739,000,000","2,745,000,000","2,484,000,000","2,354,000,000","2,332,000,000","2,987,000,000","2,548,000,000","2,526,000,000","2,477,000,000","2,954,000,000","3,119,000,000","3,084,000,000","2,479,000,000","2,575,000,000","1,969,000,000","1,946,000,000","1,887,000,000","2,144,000,000","1,783,000,000","1,694,000,000","1,692,000,000","1,588,000,000","981,000,000","835,000,000","740,000,000","721,000,000","543,000,000","481,000,000","434,000,000","356,000,000","329,000,000","273,000,000","216,000,000","209,000,000","197,000,000","176,000,000","172,000,000","158,000,000","134,000,000","117,000,000","116,000,000","106,000,000","93,000,000","81,000,000","69,000,000","74,000,000","66,000,000","57,000,000","50,000,000","52,000,000","51,000,000","46,000,000","41,000,000","41,000,000","40,000,000","41,000,000","36,000,000","33,000,000","20,000,000","31,000,000","30,000,000","32,000,000","33,000,000","28,000,000","29,000,000","28,000,000","30,000,000","26,000,000","22,000,000","24,000,000","18,000,000","25,000,000","21,000,000","20,000,000","19,000,000","19,000,000","24,000,000","23,000,000","23,000,000","32,000,000","28,000,000","28,000,000","41,000,000","22,000,000","30,000,000","25,000,000","46,000,000","22,000,000","46,000,000","42,000,000","23,000,000","37,000,000","29,000,000","38,000,000","45,620,000","41,338,000","38,394,000","42,606,000","42,500,000","41,400,000","42,800,000","39,400,000","60,000,000","57,200,000","50,200,000","49,800,000","57,900,000","53,500,000","45,900,000","47,100,000","60,800,000","49,900,000","44,200,000","47,800,000"
		DeferredTax,"76,000,000","-58,000,000","-397,000,000","833,000,000","-302,000,000","-349,000,000","-302,000,000","86,000,000","-177,000,000","53,000,000","519,000,000","1,126,000,000","-498,000,000","-33,737,000,000","1,202,000,000","1,942,000,000","1,370,000,000","1,452,000,000","-253,000,000","2,099,000,000","1,500,000,000","1,592,000,000","-1,438,000,000","941,000,000","-318,000,000","2,197,000,000","-807,000,000","1,095,000,000","806,000,000","1,253,000,000","-1,383,000,000","567,000,000","778,000,000","1,179,000,000","339,000,000","1,151,000,000","1,459,000,000","1,456,000,000","636,000,000","669,000,000","740,000,000","823,000,000","142,000,000","405,000,000","468,000,000","425,000,000","-318,000,000","-170,000,000","-4,000,000","-27,000,000","-409,000,000","35,000,000","-16,000,000","22,000,000","-128,000,000","84,000,000","49,000,000","73,000,000","-148,000,000","118,000,000","13,000,000","70,000,000","190,000,000","27,000,000","156,000,000","132,000,000","25,000,000","-1,000,000","-8,000,000","4,000,000","5,000,000","-4,000,000","-14,000,000","2,000,000","-32,000,000","-32,000,000","40,000,000","-10,000,000","18,000,000","23,000,000","15,000,000","-92,000,000","11,000,000","47,000,000","41,000,000","64,000,000","-50,000,000","9,000,000","-4,000,000","10,000,000","-5,000,000","5,000,000","-22,000,000","23,000,000","28,000,000","-2,000,000",,,"-37,000,000","-74,000,000","-325,000,000","-3,000,000","-59,000,000","14,000,000","57,000,000","61,000,000","14,600,000","-43,800,000","38,800,000","31,200,000","-20,500,000","-64,100,000","40,400,000","63,200,000","-31,300,000","39,100,000","51,000,000","42,100,000","7,500,000","-109,300,000","71,700,000","38,100,000","6,000,000","45,300,000","53,700,000","33,900,000"
			DeferredIncomeTax,"76,000,000","-58,000,000","-397,000,000","833,000,000","-302,000,000","-349,000,000","-302,000,000","86,000,000","-177,000,000","53,000,000","519,000,000","1,126,000,000","-498,000,000","-33,737,000,000","1,202,000,000","1,942,000,000","1,370,000,000","1,452,000,000","-253,000,000","2,099,000,000","1,500,000,000","1,592,000,000","-1,438,000,000","941,000,000","-318,000,000","2,197,000,000","-807,000,000","1,095,000,000","806,000,000","1,253,000,000","-1,383,000,000","567,000,000","778,000,000","1,179,000,000","339,000,000","1,151,000,000","1,459,000,000","1,456,000,000","636,000,000","669,000,000","740,000,000","823,000,000","142,000,000","405,000,000","468,000,000","425,000,000","-318,000,000","-170,000,000","-4,000,000","-27,000,000","-409,000,000","35,000,000","-16,000,000","22,000,000","-128,000,000","84,000,000","49,000,000","73,000,000","-148,000,000","118,000,000","13,000,000","70,000,000","190,000,000","27,000,000","156,000,000","132,000,000","25,000,000","-1,000,000","-8,000,000","4,000,000","5,000,000","-4,000,000","-14,000,000","2,000,000","-32,000,000","-32,000,000","40,000,000","-10,000,000","18,000,000","23,000,000","15,000,000","-92,000,000","11,000,000","47,000,000","41,000,000","64,000,000","-50,000,000","9,000,000","-4,000,000","10,000,000","-5,000,000","5,000,000","-22,000,000","23,000,000","28,000,000","-2,000,000",,,"-37,000,000","-74,000,000","-325,000,000","-3,000,000","-59,000,000","14,000,000","57,000,000","61,000,000","14,600,000","-43,800,000","38,800,000","31,200,000","-20,500,000","-64,100,000","40,400,000","63,200,000","-31,300,000","39,100,000","51,000,000","42,100,000","7,500,000","-109,300,000","71,700,000","38,100,000","6,000,000","45,300,000","53,700,000","33,900,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"7,139,000,000","2,020,000,000","1,724,000,000","1,698,000,000","1,697,000,000","1,710,000,000","1,499,000,000","1,496,000,000","1,514,000,000","1,559,000,000","1,345,000,000","1,351,000,000","1,348,000,000","1,296,000,000","1,174,000,000","1,193,000,000","1,217,000,000","1,256,000,000","1,030,000,000","1,054,000,000","1,048,000,000","1,078,000,000","915,000,000","856,000,000","927,000,000","888,000,000","762,000,000","724,000,000","696,000,000","681,000,000","555,000,000","578,000,000","575,000,000","545,000,000","448,000,000","448,000,000","424,000,000","420,000,000","298,000,000","284,000,000","287,000,000","299,000,000","224,000,000","219,000,000","231,000,000","205,000,000","180,000,000","179,000,000","181,000,000","170,000,000","141,000,000","133,000,000","132,000,000","110,000,000","68,000,000","65,000,000","63,000,000","46,000,000","40,000,000","37,000,000","42,000,000","44,000,000","11,000,000","11,000,000","10,000,000","10,000,000","10,000,000","10,000,000","6,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"70,000,000","25,000,000","-3,000,000","165,000,000","-117,000,000","-142,000,000","-312,000,000","-125,000,000","-161,000,000","-54,000,000","-34,000,000","-259,000,000","-140,000,000","-11,000,000","-24,000,000","67,000,000","65,000,000","-274,000,000",,,,,,,,,,,,,,,,,,,,"13,064,000,000",,,,,,,,,,,,"-27,000,000","141,000,000","133,000,000","132,000,000","110,000,000","68,000,000","65,000,000","63,000,000","46,000,000","0",,,,,,,,"0",,,,"0","0","0","12,000,000",,,,,"0",,,,,,,,,,,,"0",,,,"0","0",,,,,,,,,,,,"200,000",,,"0","0","-100,000","200,000","-100,000","-300,000","300,000","-100,000",,,,,,,,
		ChangeInWorkingCapital,"6,800,000,000","5,355,000,000","3,877,000,000","-430,000,000","-2,002,000,000","4,245,000,000","2,160,000,000","-2,798,000,000","-4,622,000,000","1,772,000,000","814,000,000","-1,914,000,000","-2,141,000,000","37,935,000,000","106,000,000","-5,910,000,000","-3,490,000,000","3,744,000,000","3,787,000,000","-2,841,000,000","-3,940,000,000","3,478,000,000","-245,000,000","-570,000,000","2,424,000,000","10,038,000,000","2,859,000,000","-1,258,000,000","-74,000,000","5,520,000,000","1,441,000,000","-1,911,000,000","-88,000,000","7,036,000,000","-855,000,000","-1,069,000,000","-268,000,000","1,893,000,000","2,329,000,000","2,366,000,000","-1,229,000,000","2,291,000,000","670,000,000","646,000,000","-1,662,000,000","1,558,000,000","1,378,000,000","846,000,000","-714,000,000","2,025,000,000","3,286,000,000","-41,000,000","-80,000,000","954,000,000","754,000,000","178,000,000","-218,000,000","611,000,000","545,000,000","325,000,000","-643,000,000","-448,000,000","67,000,000","66,000,000","37,000,000","295,000,000","258,000,000","93,000,000","-19,000,000","116,000,000","5,000,000","-33,000,000","78,000,000","76,000,000","61,000,000","-62,000,000","-109,000,000","7,000,000","157,000,000","-146,000,000","-120,000,000","320,000,000","39,000,000","13,000,000","-132,000,000","237,000,000","180,000,000","-42,000,000","168,000,000","71,000,000","199,000,000","60,000,000","60,000,000","68,000,000","288,000,000","-178,000,000","373,000,000","187,000,000","309,000,000","256,000,000","331,000,000","213,000,000","-761,000,000","-167,000,000","-91,000,000","222,000,000","81,102,000","-38,373,000","-72,959,000","277,959,000","-431,400,000","-81,700,000","-247,300,000","-186,300,000","-111,600,000","5,000,000","82,900,000","44,400,000","-94,400,000","-26,600,000","-270,500,000","-9,200,000","-68,500,000","86,300,000","73,400,000","54,100,000"
			ChangeInReceivables,"-18,586,000,000","-21,139,000,000","-5,364,000,000","-1,373,000,000","9,290,000,000","5,917,000,000","-19,320,000,000","-214,000,000","10,675,000,000","12,035,000,000","-22,624,000,000","-3,946,000,000","28,468,000,000","-15,230,000,000","-13,040,000,000","-2,002,000,000","7,373,000,000","1,322,000,000","-10,257,000,000","782,000,000","4,797,000,000","5,722,000,000","-10,436,000,000","-1,743,000,000","11,812,000,000","-2,757,000,000","-10,252,000,000","-1,020,000,000","9,377,000,000","-4,557,000,000","-7,188,000,000","-117,000,000","8,198,000,000","-2,842,000,000","-4,394,000,000","-529,000,000","2,725,000,000","-4,767,000,000","-244,000,000","-376,000,000","-221,000,000","-950,000,000","-3,525,000,000","-1,817,000,000","211,000,000","271,000,000","-675,000,000","-754,000,000","264,000,000","226,000,000","-819,000,000","-10,000,000","346,000,000","-302,000,000","-227,000,000","-482,000,000","693,000,000","-369,000,000","-163,000,000","-228,000,000","470,000,000","-436,000,000","-68,000,000","61,000,000","-23,000,000","-91,000,000","-145,000,000","-44,000,000","1,000,000","180,000,000","-198,000,000","-76,000,000","5,000,000","68,000,000","61,000,000","18,000,000","-146,000,000","-32,000,000","132,000,000","39,000,000","-196,000,000","512,000,000","14,000,000","-27,000,000","-48,000,000","-211,000,000","215,000,000","-92,000,000","109,000,000","42,000,000","-40,000,000","-108,000,000","87,000,000","133,000,000","172,000,000","-59,000,000","352,000,000","4,000,000","-204,000,000","74,000,000","578,000,000","-13,000,000","-378,000,000","80,000,000","-34,000,000","-18,000,000","-304,264,000","65,863,000","-94,992,000","133,992,000","-116,600,000","20,400,000","-87,000,000","-111,600,000","-130,500,000","-83,300,000","100,100,000","-66,300,000","-140,100,000","23,900,000","62,500,000","-91,600,000","-56,300,000","-46,800,000","90,300,000","43,800,000"
