name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"294,135,000,000","111,439,000,000","64,698,000,000","59,685,000,000","58,313,000,000","91,819,000,000","64,040,000,000","53,809,000,000","58,015,000,000","84,310,000,000","62,900,000,000","53,265,000,000","61,137,000,000","88,293,000,000","52,579,000,000","45,408,000,000","52,896,000,000","78,351,000,000","46,852,000,000","42,358,000,000","50,557,000,000","75,872,000,000","51,501,000,000","49,605,000,000","58,010,000,000","74,599,000,000","42,123,000,000","37,432,000,000","45,646,000,000","57,594,000,000","37,472,000,000","35,323,000,000","43,603,000,000","54,512,000,000","35,966,000,000","35,023,000,000","39,186,000,000","46,333,000,000","28,270,000,000","28,571,000,000","24,667,000,000","26,741,000,000","20,343,000,000","15,700,000,000","13,499,000,000","15,683,000,000","9,870,000,000","8,337,000,000","8,163,000,000","10,167,000,000","7,895,000,000","7,464,000,000","7,512,000,000","9,608,000,000","6,217,000,000","5,410,000,000","5,264,000,000","7,115,000,000","4,837,000,000","4,370,000,000","4,359,000,000","5,749,000,000","3,678,000,000","3,520,000,000","3,243,000,000","3,490,000,000","2,350,000,000","2,014,000,000","1,909,000,000","2,006,000,000","1,715,000,000","1,545,000,000","1,475,000,000","1,472,000,000","1,443,000,000","1,429,000,000","1,495,000,000","1,375,000,000","1,450,000,000","1,475,000,000","1,431,000,000","1,007,000,000","1,870,000,000","1,825,000,000","1,945,000,000","2,343,000,000","1,336,000,000","1,558,000,000","1,530,000,000","1,710,000,000","1,556,000,000","1,402,000,000","1,405,000,000","1,578,000,000","1,614,000,000","1,737,000,000","1,601,000,000","2,129,000,000","2,321,000,000","2,179,000,000","2,185,000,000","3,148,000,000","3,003,000,000","2,575,000,000","2,652,000,000","2,832,000,000","2,493,286,000","2,149,908,000","2,077,000,000","2,468,854,000","2,140,800,000","1,862,000,000","1,973,900,000","2,000,300,000","1,767,700,000","1,740,200,000","1,716,000,000","1,862,600,000","1,507,000,000","1,528,600,000","1,597,700,000","1,675,500,000","1,354,100,000","1,364,800,000","1,346,200,000","1,493,400,000","1,383,700,000","1,248,200,000","1,246,900,000","1,405,100,000","1,168,700,000","993,100,000","867,200,000","1,042,400,000","786,500,000","637,100,000","575,300,000","662,300,000","510,800,000","448,300,000","408,900,000","533,900,000","409,700,000"
	OperatingRevenue,"294,135,000,000","111,439,000,000","64,698,000,000","59,685,000,000","58,313,000,000","91,819,000,000","64,040,000,000","53,809,000,000","58,015,000,000","84,310,000,000","62,900,000,000","53,265,000,000","61,137,000,000","88,293,000,000","52,579,000,000","45,408,000,000","52,896,000,000","78,351,000,000","46,852,000,000","42,358,000,000","50,557,000,000","75,872,000,000","51,501,000,000","49,605,000,000","58,010,000,000","74,599,000,000","42,123,000,000","37,432,000,000","45,646,000,000","57,594,000,000","37,472,000,000","35,323,000,000","43,603,000,000","54,512,000,000","35,966,000,000","35,023,000,000","39,186,000,000","46,333,000,000","28,270,000,000","28,571,000,000","24,667,000,000","26,741,000,000","20,343,000,000","15,700,000,000","13,499,000,000","15,683,000,000","9,870,000,000","8,337,000,000","8,163,000,000","10,167,000,000","7,895,000,000","7,464,000,000","7,512,000,000","9,608,000,000","6,217,000,000","5,410,000,000","5,264,000,000","7,115,000,000","4,837,000,000","4,370,000,000","4,359,000,000","5,749,000,000","3,678,000,000","3,520,000,000","3,243,000,000","3,490,000,000","2,350,000,000","2,014,000,000","1,909,000,000","2,006,000,000","1,715,000,000","1,545,000,000","1,475,000,000","1,472,000,000","1,443,000,000","1,429,000,000","1,495,000,000","1,375,000,000","1,450,000,000","1,475,000,000","1,431,000,000","1,007,000,000","1,870,000,000","1,825,000,000","1,945,000,000","2,343,000,000","1,336,000,000","1,558,000,000","1,530,000,000","1,710,000,000","1,556,000,000","1,402,000,000","1,405,000,000","1,578,000,000","1,614,000,000","1,737,000,000","1,601,000,000","2,129,000,000","2,321,000,000","2,179,000,000","2,185,000,000","3,148,000,000","3,003,000,000","2,575,000,000","2,652,000,000","2,832,000,000","2,493,286,000","2,149,908,000","2,077,000,000","2,468,854,000","2,140,800,000","1,862,000,000","1,973,900,000","2,000,300,000","1,767,700,000","1,740,200,000","1,716,000,000","1,862,600,000","1,507,000,000","1,528,600,000","1,597,700,000","1,675,500,000","1,354,100,000","1,364,800,000","1,346,200,000","1,493,400,000","1,383,700,000","1,248,200,000","1,246,900,000","1,405,100,000","1,168,700,000","993,100,000","867,200,000","1,042,400,000","786,500,000","637,100,000","575,300,000","662,300,000","510,800,000","448,300,000","408,900,000","533,900,000","409,700,000"
CostOfRevenue,"180,068,000,000","67,111,000,000","40,009,000,000","37,005,000,000","35,943,000,000","56,602,000,000","39,727,000,000","33,582,000,000","36,194,000,000","52,279,000,000","38,816,000,000","32,844,000,000","37,715,000,000","54,381,000,000","32,648,000,000","27,920,000,000","32,305,000,000","48,175,000,000","29,039,000,000","26,252,000,000","30,636,000,000","45,449,000,000","30,953,000,000","29,924,000,000","34,354,000,000","44,858,000,000","26,114,000,000","22,697,000,000","27,699,000,000","35,748,000,000","23,601,000,000","22,299,000,000","27,254,000,000","33,452,000,000","21,565,000,000","20,029,000,000","20,622,000,000","25,630,000,000","16,890,000,000","16,649,000,000","14,449,000,000","16,443,000,000","12,831,000,000","9,564,000,000","7,874,000,000","9,272,000,000","6,256,000,000","5,314,000,000","5,192,000,000","6,635,000,000","5,156,000,000","4,864,000,000","5,038,000,000","6,276,000,000","4,127,000,000","3,415,000,000","3,415,000,000","4,895,000,000","3,425,000,000","3,045,000,000","3,062,000,000","4,185,000,000","2,643,000,000","2,476,000,000","2,275,000,000","2,494,000,000","1,716,000,000","1,455,000,000","1,379,000,000","1,470,000,000","1,259,000,000","1,117,000,000","1,057,000,000","1,066,000,000","1,062,000,000","1,038,000,000","1,086,000,000","953,000,000","1,013,000,000","1,041,000,000","1,046,000,000","1,028,000,000","1,403,000,000","1,282,000,000","1,396,000,000","1,736,000,000","952,000,000","1,131,000,000","1,127,000,000","1,228,000,000","1,139,000,000","1,042,000,000","1,056,000,000","1,225,000,000","1,294,000,000","1,389,000,000","1,298,000,000","1,732,000,000","1,810,000,000","1,776,000,000","2,606,000,000","2,673,000,000","2,382,000,000","1,847,000,000","1,957,000,000","2,018,000,000","1,814,413,000","1,576,036,000","1,578,000,000","1,876,830,000","1,547,900,000","1,214,600,000","1,172,000,000","1,150,000,000","952,700,000","911,700,000","910,200,000","999,600,000","794,300,000","774,900,000","772,700,000","767,700,000","591,400,000","578,300,000","565,300,000","668,500,000",,,,,,,,,,,,,,,,,
GrossProfit,"114,067,000,000","44,328,000,000","24,689,000,000","22,680,000,000","22,370,000,000","35,217,000,000","24,313,000,000","20,227,000,000","21,821,000,000","32,031,000,000","24,084,000,000","20,421,000,000","23,422,000,000","33,912,000,000","19,931,000,000","17,488,000,000","20,591,000,000","30,176,000,000","17,813,000,000","16,106,000,000","19,921,000,000","30,423,000,000","20,548,000,000","19,681,000,000","23,656,000,000","29,741,000,000","16,009,000,000","14,735,000,000","17,947,000,000","21,846,000,000","13,871,000,000","13,024,000,000","16,349,000,000","21,060,000,000","14,401,000,000","14,994,000,000","18,564,000,000","20,703,000,000","11,380,000,000","11,922,000,000","10,218,000,000","10,298,000,000","7,512,000,000","6,136,000,000","5,625,000,000","6,411,000,000","3,614,000,000","3,023,000,000","2,971,000,000","3,532,000,000","2,739,000,000","2,600,000,000","2,474,000,000","3,332,000,000","2,090,000,000","1,995,000,000","1,849,000,000","2,220,000,000","1,412,000,000","1,325,000,000","1,297,000,000","1,564,000,000","1,035,000,000","1,044,000,000","968,000,000","996,000,000","634,000,000","559,000,000","530,000,000","536,000,000","456,000,000","428,000,000","418,000,000","406,000,000","381,000,000","391,000,000","409,000,000","422,000,000","437,000,000","434,000,000","385,000,000","-21,000,000","467,000,000","543,000,000","549,000,000","607,000,000","384,000,000","427,000,000","403,000,000","482,000,000","417,000,000","360,000,000","349,000,000","353,000,000","320,000,000","348,000,000","303,000,000","397,000,000","511,000,000","403,000,000","-421,000,000","475,000,000","621,000,000","728,000,000","695,000,000","814,000,000","678,873,000","573,872,000","499,000,000","592,024,000","592,900,000","647,400,000","801,900,000","850,300,000","815,000,000","828,500,000","805,800,000","863,000,000","712,700,000","753,700,000","825,000,000","907,800,000","762,700,000","786,500,000","780,900,000","824,900,000",,,,,,,,,,,,,,,,,
OperatingExpense,"39,814,000,000","10,794,000,000","9,914,000,000","9,589,000,000","9,517,000,000","9,648,000,000","8,688,000,000","8,683,000,000","8,406,000,000","8,685,000,000","7,966,000,000","7,809,000,000","7,528,000,000","7,638,000,000","6,811,000,000","6,720,000,000","6,494,000,000","6,817,000,000","6,052,000,000","6,001,000,000","5,934,000,000","6,252,000,000","5,925,000,000","5,598,000,000","5,378,000,000","5,495,000,000","4,844,000,000","4,453,000,000","4,354,000,000","4,383,000,000","3,841,000,000","3,823,000,000","3,791,000,000","3,850,000,000","3,457,000,000","3,421,000,000","3,180,000,000","3,363,000,000","2,670,000,000","2,543,000,000","2,344,000,000","2,471,000,000","2,065,000,000","1,902,000,000","1,646,000,000","1,686,000,000","1,421,000,000","1,351,000,000","1,304,000,000","1,406,000,000","1,297,000,000","1,208,000,000","1,159,000,000","1,206,000,000","1,030,000,000","954,000,000","863,000,000","898,000,000","804,000,000","759,000,000","768,000,000","814,000,000","617,000,000","617,000,000","566,000,000","593,000,000","501,000,000","479,000,000","468,000,000","462,000,000","425,000,000","419,000,000","419,000,000","420,000,000","397,000,000","378,000,000","381,000,000","402,000,000","384,000,000","403,000,000","393,000,000","399,000,000","383,000,000","375,000,000","379,000,000","409,000,000","317,000,000","323,000,000","315,000,000","355,000,000","308,000,000","299,000,000","298,000,000","313,000,000","353,000,000","408,000,000","864,000,000","521,000,000","505,000,000","519,000,000","554,000,000","594,000,000","549,000,000","572,000,000","529,000,000","547,000,000","488,462,000","468,306,000","464,000,000","527,317,000","585,800,000","954,100,000","632,800,000","609,500,000","683,400,000","627,400,000","595,400,000","600,400,000","591,400,000","842,500,000","638,400,000","679,400,000","622,100,000","604,200,000","581,700,000","634,900,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"20,350,000,000","5,631,000,000","4,936,000,000","4,831,000,000","4,952,000,000","5,197,000,000","4,578,000,000","4,426,000,000","4,458,000,000","4,783,000,000","4,216,000,000","4,108,000,000","4,150,000,000","4,231,000,000","3,814,000,000","3,783,000,000","3,718,000,000","3,946,000,000","3,482,000,000","3,441,000,000","3,423,000,000","3,848,000,000","3,705,000,000","3,564,000,000","3,460,000,000","3,600,000,000","3,158,000,000","2,850,000,000","2,932,000,000","3,053,000,000","2,673,000,000","2,645,000,000","2,672,000,000","2,840,000,000","2,551,000,000","2,545,000,000","2,339,000,000","2,605,000,000","2,025,000,000","1,915,000,000","1,763,000,000","1,896,000,000","1,571,000,000","1,438,000,000","1,220,000,000","1,288,000,000","1,063,000,000","1,010,000,000","985,000,000","1,091,000,000","999,000,000","916,000,000","886,000,000","960,000,000","823,000,000","746,000,000","680,000,000","714,000,000","625,000,000","584,000,000","592,000,000","632,000,000","470,000,000","472,000,000","447,000,000","470,000,000","379,000,000","354,000,000","345,000,000","343,000,000","314,000,000","299,000,000","300,000,000","299,000,000","280,000,000","272,000,000","270,000,000","289,000,000","268,000,000","281,000,000","292,000,000","297,000,000","282,000,000","278,000,000","287,000,000","319,000,000","235,000,000","243,000,000","239,000,000","279,000,000","235,000,000","216,000,000","223,000,000","234,000,000","259,000,000","307,000,000","348,000,000","372,000,000","359,000,000","364,000,000","404,000,000","441,000,000","378,000,000","404,000,000","386,000,000","415,000,000","346,352,000","332,867,000","330,000,000","374,705,000","543,300,000","912,700,000","591,700,000","570,100,000","623,400,000","570,300,000","545,100,000","550,600,000","533,500,000","789,100,000","592,500,000","632,300,000","561,300,000","554,300,000","537,400,000","587,100,000",,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"19,464,000,000","5,163,000,000","4,978,000,000","4,758,000,000","4,565,000,000","4,451,000,000","4,110,000,000","4,257,000,000","3,948,000,000","3,902,000,000","3,750,000,000","3,701,000,000","3,378,000,000","3,407,000,000","2,997,000,000","2,937,000,000","2,776,000,000","2,871,000,000","2,570,000,000","2,560,000,000","2,511,000,000","2,404,000,000","2,220,000,000","2,034,000,000","1,918,000,000","1,895,000,000","1,686,000,000","1,603,000,000","1,422,000,000","1,330,000,000","1,168,000,000","1,178,000,000","1,119,000,000","1,010,000,000","906,000,000","876,000,000","841,000,000","758,000,000","645,000,000","628,000,000","581,000,000","575,000,000","494,000,000","464,000,000","426,000,000","398,000,000","358,000,000","341,000,000","319,000,000","315,000,000","298,000,000","292,000,000","273,000,000","246,000,000","207,000,000","208,000,000","183,000,000","184,000,000","179,000,000","175,000,000","176,000,000","182,000,000","147,000,000","145,000,000","119,000,000","123,000,000","122,000,000","125,000,000","123,000,000","119,000,000","111,000,000","120,000,000","119,000,000","121,000,000","117,000,000","106,000,000","111,000,000","113,000,000","116,000,000","122,000,000","101,000,000","102,000,000","101,000,000","97,000,000","92,000,000","90,000,000","82,000,000","80,000,000","76,000,000","76,000,000","73,000,000","83,000,000","75,000,000","79,000,000","94,000,000","101,000,000","516,000,000","149,000,000","146,000,000","155,000,000","150,000,000","153,000,000","171,000,000","168,000,000","143,000,000","132,000,000","142,110,000","135,439,000","134,000,000","152,612,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,100,000",,"42,500,000","41,400,000","41,100,000","39,400,000","60,000,000","57,100,000","50,300,000","49,800,000","57,900,000","53,400,000","45,900,000","47,100,000","60,800,000","49,900,000","44,300,000","47,800,000",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,100,000",,"42,500,000","41,400,000","41,100,000","39,400,000","60,000,000","57,100,000","50,300,000","49,800,000","57,900,000","53,400,000","45,900,000","47,100,000","60,800,000","49,900,000","44,300,000","47,800,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"98,000,000",,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
